strategy,case_id,repo,change_type,gt_invalidated,pred_invalidated,tp,fp,fn,global_after,oracle_result,gfc
all_downstream,T1_impl_internal,tinydb,POTENTIALLY_BREAKING,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
all_downstream,T2_all_breaks,tinydb,POTENTIALLY_BREAKING,,agent_b_completion|testing_completion,0,2,0,VERIFIED,FAIL,1
all_downstream,T3_insert_sig,tinydb,BREAKING,,agent_b_completion|testing_completion,0,2,0,VERIFIED,FAIL,1
all_downstream,T4_version_cfg,tinydb,POTENTIALLY_BREAKING,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
all_downstream,T5_add_method,tinydb,COMPATIBLE,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
all_downstream,T6_doc_required_attr,tinydb,BREAKING,testing_completion,agent_b_completion|testing_completion,1,1,0,FAILED,FAIL,0
all_downstream,C1_utils_internal,cerberus,POTENTIALLY_BREAKING,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
all_downstream,C2_validate_sig,cerberus,COMPATIBLE,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
all_downstream,C3_remove_allowed,cerberus,POTENTIALLY_BREAKING,testing_completion,agent_b_completion|testing_completion,1,1,0,FAILED,FAIL,0
all_downstream,C4_platform_const,cerberus,POTENTIALLY_BREAKING,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
all_downstream,C5_add_new_rule,cerberus,POTENTIALLY_BREAKING,agent_b_completion|testing_completion,agent_b_completion|testing_completion,2,0,0,FAILED,FAIL,0
all_downstream,B1_sentinel_internal,boltons,NON_SEMANTIC,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
all_downstream,B2_sentinel_required,boltons,BREAKING,agent_b_completion|testing_completion,agent_b_completion|testing_completion,2,0,0,FAILED,FAIL,0
all_downstream,B3_sentinel_optional,boltons,COMPATIBLE,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
all_downstream,B4_rename_isiterable,boltons,BREAKING,agent_b_completion,agent_b_completion|testing_completion,1,1,0,FAILED,FAIL,0
all_downstream,B5_remove_chunked,boltons,BREAKING,agent_b_completion,agent_b_completion|testing_completion,1,1,0,FAILED,FAIL,0
static,T1_impl_internal,tinydb,POTENTIALLY_BREAKING,,testing_completion,0,1,0,VERIFIED,PASS,0
static,T2_all_breaks,tinydb,POTENTIALLY_BREAKING,,testing_completion,0,1,0,VERIFIED,FAIL,1
static,T3_insert_sig,tinydb,BREAKING,,testing_completion,0,1,0,VERIFIED,FAIL,1
static,T4_version_cfg,tinydb,POTENTIALLY_BREAKING,,,0,0,0,VERIFIED,PASS,0
static,T5_add_method,tinydb,COMPATIBLE,,testing_completion,0,1,0,VERIFIED,PASS,0
static,T6_doc_required_attr,tinydb,BREAKING,testing_completion,testing_completion,1,0,0,FAILED,FAIL,0
static,C1_utils_internal,cerberus,POTENTIALLY_BREAKING,,,0,0,0,VERIFIED,PASS,0
static,C2_validate_sig,cerberus,COMPATIBLE,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
static,C3_remove_allowed,cerberus,POTENTIALLY_BREAKING,testing_completion,agent_b_completion|testing_completion,1,1,0,FAILED,FAIL,0
static,C4_platform_const,cerberus,POTENTIALLY_BREAKING,,,0,0,0,VERIFIED,PASS,0
static,C5_add_new_rule,cerberus,POTENTIALLY_BREAKING,agent_b_completion|testing_completion,agent_b_completion|testing_completion,2,0,0,FAILED,FAIL,0
static,B1_sentinel_internal,boltons,NON_SEMANTIC,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
static,B2_sentinel_required,boltons,BREAKING,agent_b_completion|testing_completion,agent_b_completion|testing_completion,2,0,0,FAILED,FAIL,0
static,B3_sentinel_optional,boltons,COMPATIBLE,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
static,B4_rename_isiterable,boltons,BREAKING,agent_b_completion,agent_b_completion,1,0,0,FAILED,FAIL,0
static,B5_remove_chunked,boltons,BREAKING,agent_b_completion,agent_b_completion,1,0,0,FAILED,FAIL,0
freshness,T1_impl_internal,tinydb,POTENTIALLY_BREAKING,,testing_completion,0,1,0,VERIFIED,PASS,0
freshness,T2_all_breaks,tinydb,POTENTIALLY_BREAKING,,testing_completion,0,1,0,VERIFIED,FAIL,1
freshness,T3_insert_sig,tinydb,BREAKING,,testing_completion,0,1,0,VERIFIED,FAIL,1
freshness,T4_version_cfg,tinydb,POTENTIALLY_BREAKING,,,0,0,0,VERIFIED,PASS,0
freshness,T5_add_method,tinydb,COMPATIBLE,,testing_completion,0,1,0,VERIFIED,PASS,0
freshness,T6_doc_required_attr,tinydb,BREAKING,testing_completion,testing_completion,1,0,0,FAILED,FAIL,0
freshness,C1_utils_internal,cerberus,POTENTIALLY_BREAKING,,,0,0,0,VERIFIED,PASS,0
freshness,C2_validate_sig,cerberus,COMPATIBLE,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
freshness,C3_remove_allowed,cerberus,POTENTIALLY_BREAKING,testing_completion,agent_b_completion|testing_completion,1,1,0,FAILED,FAIL,0
freshness,C4_platform_const,cerberus,POTENTIALLY_BREAKING,,,0,0,0,VERIFIED,PASS,0
